Fighters,Carriers,Cruisers,Destroyers,Dreadnaught,Flagship,Warsun,Faction,Score,FleetSize,WinRate,Cost
0,0,1,1,0,1,0,Naalu,8889.0,3.0,0.20964622641509434,11.0
0,1,0,0,0,1,0,Keleres,8440.0,2.0,0.19905660377358492,11.0
0,1,0,0,0,1,0,Ul,8297.0,2.0,0.19568396226415094,11.0
0,1,0,0,0,1,0,Argent,8045.0,2.0,0.18974056603773584,11.0
0,1,0,0,0,1,0,Mentak,6861.5,2.0,0.16182783018867924,11.0
0,1,0,0,0,1,0,Hacan,6428.0,2.0,0.15160377358490565,11.0
0,1,0,0,0,1,0,Arborec,5865.0,2.0,0.1383254716981132,11.0
0,1,0,0,0,1,0,Ghost,5109.0,2.0,0.12049528301886793,11.0
0,1,0,0,0,1,0,Winnu,3305.5,2.0,0.07795990566037736,11.0
0,1,0,0,0,1,0,NaazRokha,2150.0,2.0,0.05070754716981132,11.0
0,1,0,0,0,1,0,Nekro,2043.0,2.0,0.04818396226415094,11.0
0,1,0,0,0,1,0,Naalu,1952.5,2.0,0.04604952830188679,11.0
